Attraction,Description,Country,Continent
Amboseli National Park,"Amboseli belongs in the elite of Kenya’s national parks, and it’s easy to see why. Its signature attraction is the sight of hundreds of big-tusked…",Kenya,Africa
Fort Jesus,"This 16th-century fort and Unesco World Heritage treasure is Mombasa’s most visited site. The metre-thick walls, frescoed interiors, traces of European…",Kenya,Africa
David Sheldrick Wildlife Trust,"Occupying a plot within Nairobi National Park, this nonprofit trust was established in 1977, shortly after the death of David Sheldrick, who served as the…",Kenya,Africa
Nairobi National Park,"Welcome to Kenya’s most accessible yet incongruous safari experience. Set on the city’s southern outskirts, Nairobi National Park (at 117 sq km, one of…",Kenya,Africa
National Museum,"Kenya’s wonderful National Museum, housed in an imposing building amid lush, leafy grounds just outside the centre, has a good range of cultural and…",Kenya,Africa
Giraffe Centre,"This centre, which protects the highly endangered Rothschild’s giraffe, combines serious conservation with enjoyable activities. You can observe, hand…",Kenya,Africa
Lamu Museum,The best museum in town (and the second best in Kenya) is housed in a grand Swahili warehouse on the waterfront. This is as good a gateway as you’ll get…,Kenya,Africa
Galana River,"Running through the heart of the park and marking the northernmost point in the park that most visitors are allowed to visit, the Galana River, which…",Kenya,Africa
Mzima Springs,"Mzima Springs is an oasis of green in the west of the park that produces an incredible 250 million litres of fresh water a day. The springs, whose source…",Kenya,Africa
Ngulia Rhino Sanctuary,"At the base of Ngulia Hills, this 90-sq-km area is surrounded by a 1m-high electric fence and provides a measure of security for around 80 of the park's…",Kenya,Africa
Tsavo West National Park,"Welcome to the wilderness. Tsavo West is one of Kenya’s larger national parks (9065 sq km), covering a huge variety of landscapes from swamps, natural…",Kenya,Africa
Karen Blixen's House & Museum,"If you loved Out of Africa, you'll love this museum in the farmhouse where author Karen Blixen lived between 1914 and 1931. She left after a series of…",Kenya,Africa
Kisite Marine National Park,"Off the south coast of Wasini, this gorgeous marine park, which also incorporates the Mpunguti Marine National Reserve and the two tiny Penguti islands,…",Kenya,Africa
Tsavo East National Park,"Kenya’s largest national park, Tsavo East has an undeniable wild and primordial charm and is a terrific wildlife-watching destination. Although one of…",Kenya,Africa
Shimba Hills National Reserve,"This park is among the easiest to visit in Kenya, within spitting distance of Diani Beach, with numerous driving routes and a couple of hiking trails. Its…",Kenya,Africa
Shela Beach,"Most people are here for the beach – a 12km-long, wide sweep of pristine white sand where you’re guaranteed an isolated spot (at least if you’re…",Kenya,Africa
Kanderi Swamp,"Around 10km from Voi Gate, the lovely area of green known as Kanderi Swamp is home to a resident pride of lions, and elephants also congregate near here;…",Kenya,Africa
Ngulia Hills,"Rising more than 600m above the valley floor and to a height of over 1800m above sea level, this jagged ridgeline ranks among the prettiest of all Tsavo…",Kenya,Africa
Mwaluganje Elephant Sanctuary,"This sanctuary is a good example of community-based conservation, with local people acting as stakeholders in the project. It was opened in October 1995…",Kenya,Africa
Lumo Community Wildlife Sanctuary,"The innovative community-run Lumo Community Wildlife Sanctuary covers 657 sq km and was formed from three community-owned ranches in 1996, but only opened…",Kenya,Africa
Karunguru Coffee Estate,"This estate has been cultivating coffee since 1928, and its five-hour tours (which must be pre-booked) are outstanding, taking in an explanation of the…",Kenya,Africa
Kaya Kinondo,"This forest, sacred to the Digo people, is the only one of the area's sacred forests that's open to visitors. Visiting this small grove is a nature walk,…",Kenya,Africa
